Comment,Label
"O app caiu durante o atendimento",false
"O aplicativo facilitou minha busca por alimentos",true
"Não consegui finalizar meu cadastro no app",false
"Ótima experiência com os atendentes do app",true
"O aplicativo demorou muito para carregar",false
"Consegui abrigo rapidamente com o app",true
"Faltam informações claras no aplicativo",false
"Atendimento médico super rápido e eficiente",true
"Não encontrei ajuda quando precisei",false
"O app salvou minha família na emergência",true
"Tive problemas para acessar o serviço de médicos",false
"Muito eficiente para encontrar apoio e ajuda",true
"O app desconectou várias vezes",false
"Recebi produtos essenciais rapidamente",true
"Não consegui localizar nenhum posto de apoio",false
"Ótimo serviço prestado pelos voluntários via app",true
"O chat ficou fora do ar durante o atendimento",false
"O aplicativo é uma benção em tempos difíceis",true
"Não consegui concluir meu pedido de ajuda",false
"Atendimento rápido e muito atencioso",true
"Faltam médicos disponíveis no app",false
"O app ajudou muito na busca por abrigo",true
"Não consegui informações sobre produtos emergenciais",false
"Aplicativo funciona perfeitamente nas emergências",true
"O sistema travou no momento que mais precisava",false
"Encontrei suporte psicológico pelo app rapidamente",true
"O chat não funcionou quando precisei",false
"Ótimo direcionamento para itens de primeira necessidade",true
"Demoraram muito para me responder no app",false
"Me ajudaram muito com informações precisas",true
"O mapa de abrigos não carregou corretamente",false
"Consegui atendimento médico no mesmo dia",true
"O aplicativo fechou sozinho várias vezes",false
"App excelente para situações de risco",true
"Não consegui acionar ajuda pelo aplicativo",false
"Recebi direcionamento para abrigo de forma rápida",true
"Tive dificuldades para acessar as funções do app",false
"Atendimento médico incrível mesmo na crise",true
"O aplicativo ficou travando toda hora",false
"Encontrei facilmente onde pegar alimentos",true
"O app não enviou minha solicitação de ajuda",false
"Ótimo suporte tanto de médicos quanto de voluntários",true
"Fiquei sem suporte no momento da emergência",false
"Recebi atendimento psicológico rapidamente",true
"Não encontrei nenhuma ajuda pelo app",false
"O app foi essencial para minha segurança",true
"Tive falha no sistema quando mais precisei",false
"Consegui itens de emergência em poucos minutos",true
"O aplicativo estava lento e não respondia",false
"Fui muito bem acolhido graças ao app",true
"Não consegui encontrar médicos de plantão",false
"O atendimento pelo app foi maravilhoso",true
"O mapa de apoio não mostrou opções disponíveis",false
"App eficiente e fácil de usar",true
"O app não carregou as informações de abrigo",false
"Recebi suporte médico de forma rápida e eficiente",true
"Faltaram respostas no chat de emergência",false
"Ótima plataforma para encontrar ajuda na crise",true
"Não consegui completar meu pedido de abrigo",false
"O atendimento dos profissionais foi excelente",true
"O aplicativo não funcionou durante o desastre",false
"Consegui abrigo e alimentos rapidamente",true
"Não obtive retorno dos voluntários no app",false
"O app foi fundamental na emergência",true
"O suporte demorou muito para responder",false
"Recebi rapidamente a localização dos abrigos",true
"Não consegui enviar meu pedido de ajuda",false
"Excelente suporte psicológico na crise",true
"O aplicativo não mostrou abrigos próximos",false
"Consegui direcionamento para produtos essenciais",true
"O chat não respondeu no momento que precisei",false
"Atendimento médico rápido e humanizado",true
"Fiquei sem resposta no app durante a crise",false
"Ótimo app para emergências",true
"O aplicativo fechou sozinho diversas vezes",false
"Me senti acolhido pelo atendimento do app",true
"O app não carregou corretamente",false
"Fui bem atendido por médicos e voluntários",true
"Não consegui acessar os serviços de apoio",false
"App muito eficiente em situações críticas",true
"Faltou suporte médico no momento necessário",false
"Recebi alimentos e abrigo rapidamente",true
"O chat de emergência não respondeu",false
"Aplicativo muito útil e bem organizado",true
"Fiquei sem atendimento durante o pico da crise",false
"Recebi toda a ajuda que precisava",true
"O aplicativo não encontrou nenhum local de apoio",false
"App excelente me ajudou em tudo",true
"O suporte foi muito demorado",false
"Me ajudaram com alimentos e produtos essenciais",true
"O aplicativo travou diversas vezes",false
"Ótima ajuda com localização de abrigos",true
"Não consegui completar meu cadastro para pedir ajuda",false
"Recebi atendimento psicológico muito rápido",true
"O aplicativo não carregou os médicos disponíveis",false
"Fui muito bem atendido em todos os serviços",true
"O app não respondeu meu pedido de emergência",false
"Plataforma incrível para quem precisa de ajuda",true
"Fiquei sem informações no momento crítico",false
"Atendimento médico e psicológico de excelência",true
"O app apresentou muitas falhas",false
"Me senti seguro com o suporte do aplicativo",true
"Não consegui contato com nenhum abrigo",false
"O app me ajudou a encontrar um lugar seguro",true
"O mapa de produtos de emergência não carregou",false
"App maravilhoso que salva vidas",true
"O chat não funcionou quando precisei",false
"Recebi toda a ajuda necessária graças ao app",true
"O aplicativo caiu várias vezes durante o uso",false
"Excelente serviço prestado pelos voluntários",true
"Não consegui localizar médicos de emergência",false
"Me ajudaram a encontrar abrigo e alimentos",true
"O aplicativo não mostrava as opções corretamente",false
"O suporte psicológico pelo app foi incrível",true
"O app não enviou meu pedido para os voluntários",false
"Ótima plataforma que salva vidas na crise",true
"Não consegui usar o aplicativo na emergência",false
"Recebi apoio imediato com alimentos e médicos",true
"O aplicativo travava o tempo todo",false
"App funciona muito bem e é fácil de usar",true
"O chat ficou fora do ar no momento crítico",false
"Recebi suporte muito rápido pelo app",true
"O aplicativo não encontrou médicos disponíveis",false
"Excelente atendimento em momento de crise",true
"O app travou no meio do atendimento",false
"Consegui abrigo com facilidade pelo app",true
"O chat de emergência não abriu",false
"Muito satisfeito com o atendimento dos médicos",true
"O aplicativo ficou lento e não respondeu",false
"Ótima ajuda na localização de abrigos",true
"Não consegui enviar meu pedido de socorro",false
"App muito bem desenvolvido para emergências",true
"O mapa de apoio estava vazio",false
"Encontrei voluntários que me ajudaram rapidamente",true
"O aplicativo não processou meu cadastro",false
"Excelente suporte em situações de desastre",true
"O app caiu várias vezes durante a busca por ajuda",false
"Recebi alimentos e medicamentos rapidamente",true
"Não encontrei nenhum abrigo pelo aplicativo",false
"O atendimento dos médicos foi muito eficiente",true
"Fiquei sem resposta dos voluntários no app",false
"O aplicativo facilitou minha busca por suporte",true
"O app não atualizou as informações corretamente",false
"Ótima experiência com os serviços do aplicativo",true
"Não consegui acessar a aba de médicos",false
"Recebi assistência psicológica de forma rápida",true
"O chat ficou fora do ar várias vezes",false
"Fui bem acolhido graças ao aplicativo",true
"Não encontrei itens de emergência no app",false
"O aplicativo me direcionou rapidamente para um abrigo",true
"O sistema travou quando precisei de alimentos",false
"Atendimento eficiente tanto de médicos quanto de voluntários",true
"Não consegui solicitar ajuda no app",false
"Me ajudaram muito na localização de recursos",true
"O aplicativo ficou indisponível na emergência",false
"Ótima interface fácil de encontrar ajuda",true
"O chat não respondeu durante o desastre",false
"Recebi assistência médica rapidamente",true
"O app não encontrou nenhum voluntário disponível",false
"Excelente para quem precisa de ajuda urgente",true
"O aplicativo travou no momento da solicitação",false
"Encontrei suporte psicológico muito rápido",true
"O sistema ficou lento na hora que mais precisava",false
"App muito útil em situações de risco",true
"Fiquei sem resposta no chat de emergência",false
"Recebi apoio de médicos e alimentos",true
"O aplicativo não localizou postos de apoio",false
"Muito satisfeita com a rapidez no atendimento",true
"Não consegui completar meu pedido de suporte",false
"O app é essencial em momentos de crise",true
"Faltaram informações sobre onde encontrar ajuda",false
"Recebi tudo que precisava rapidamente",true
"O chat ficou instável e não funcionou",false
"Aplicativo salvou minha família na crise",true
"Não consegui acessar o serviço de psicólogos",false
"Ótimo suporte tanto para médicos quanto abrigos",true
"O app não respondeu meu pedido de emergência",false
"Fui muito bem atendido durante a crise",true
"Faltam opções de abrigo no aplicativo",false
"Recebi alimentos e apoio psicológico",true
"O app travou diversas vezes",false
"Ótima ferramenta para momentos de emergência",true
"O chat ficou sem resposta no momento crítico",false
"Me ajudaram rapidamente com abrigo e alimentos",true
"O aplicativo não funcionou no momento que precisei",false
"Excelente atendimento com profissionais capacitados",true
"Não consegui enviar minha solicitação no app",false
"Recebi atendimento completo muito rápido",true
"O app não atualizou os abrigos disponíveis",false
"Muito bom para localizar médicos e voluntários",true
"O sistema ficou fora do ar na emergência",false
"App funciona perfeitamente em momentos críticos",true
"O chat não respondeu quando precisei de ajuda",false
"Recebi medicamentos e apoio rapidamente",true
"Não consegui encontrar nenhum ponto de apoio",false
"Ótima plataforma para buscar suporte na crise",true
"O aplicativo não carregou as informações necessárias",false
"Fui atendido com muita eficiência",true
"Não consegui suporte psicológico pelo app",false
"Recebi toda assistência que precisava",true
"O aplicativo caiu no meio do atendimento",false
"Aplicativo excelente e bem organizado",true
"Faltam voluntários cadastrados no app",false
"Me ajudaram rapidamente com itens de emergência",true
"O app ficou indisponível quando mais precisei",false
"Recebi suporte de médicos em poucos minutos",true
"O chat ficou fora do ar e não consegui ajuda",false
"App super eficiente e confiável",true
"Não consegui localizar abrigos no aplicativo",false
"Excelente suporte em todos os serviços",true
"O sistema do app ficou lento demais",false
"Recebi abrigo e alimentos rapidamente",true
"O aplicativo não funcionou corretamente",false
"Ótima ajuda com suporte psicológico",true
"O chat não carregou durante a crise",false
"Fui muito bem acolhido pelo app",true
"Não encontrei médicos de emergência disponíveis",false
"O app me ajudou a encontrar suporte rapidamente",true
"O aplicativo apresentou falhas na localização",false
"Recebi alimentos e medicamentos em poucos minutos",true
"Não consegui enviar meu pedido pelo app",false
"Excelente suporte durante todo o processo",true
"O app ficou fora do ar diversas vezes",false
"Recebi apoio psicológico muito rápido",true
"O chat estava indisponível quando precisei",false
"Aplicativo maravilhoso e muito eficiente",true
"Não encontrei pontos de apoio pelo app",false
"Me ajudaram muito em um momento difícil",true
"O sistema travou bem na hora da solicitação",false
"Ótimo suporte e atendimento muito humano",true
"Faltaram médicos disponíveis no aplicativo",false
"Recebi ajuda de voluntários de forma rápida",true
"O app caiu quando tentei pedir ajuda",false
"App muito bem feito fácil de usar",true
"Não consegui concluir meu pedido no chat",false
"Me senti acolhido e seguro com o app",true
"O aplicativo não atualizou as informações",false
"Recebi alimentos roupas e apoio médico",true
"O chat ficou fora do ar no momento crítico",false
"App excelente salvou minha vida na crise",true
"Não encontrei abrigo no aplicativo",false
"Recebi rapidamente medicamentos e orientação",true
"O app não carregou corretamente quando precisei",false
"Muito bom para quem precisa de ajuda urgente",true
"O sistema ficou instável e não funcionou direito",false
"Ótimo atendimento dos voluntários",true
"O app ficou travando e não consegui ajuda",false
"Recebi suporte psicológico em poucos minutos",true
"O aplicativo não encontrou nenhum médico próximo",false
"Me ajudaram muito na crise",true
"O chat não respondeu minhas mensagens",false
"App perfeito para situações de emergência",true
"Não consegui concluir minha solicitação de abrigo",false
"Recebi apoio de forma rápida e eficiente",true
"O aplicativo ficou lento e demorou muito",false
"Ótima experiência com o suporte médico",true
"O app não abriu no momento da emergência",false
"Encontrei rapidamente onde buscar alimentos",true
"Não consegui acessar o serviço de médicos",false
"Aplicativo funciona muito bem e sem falhas",true
"O sistema travou diversas vezes",false
"Recebi ajuda de voluntários muito rápido",true
"O chat ficou offline na hora da emergência",false
"Ótimo suporte de médicos e psicólogos",true
"Não consegui enviar meu pedido pelo app",false
"Me senti acolhido e protegido graças ao aplicativo",true
"O aplicativo não respondeu no momento de emergência",false
"Recebi alimentos e abrigo rapidamente pelo app",true
"O chat não funcionou quando mais precisei",false
"App excelente para buscar suporte na crise",true
"O aplicativo não localizou nenhum abrigo",false
"Recebi medicamentos e suporte psicológico",true
"O sistema do app ficou fora do ar",false
"Atendimento impecável dos profissionais no app",true
"O aplicativo travou durante o atendimento",false
"Recebi apoio muito rápido e eficiente",true
"Não consegui localizar voluntários no app",false
"Ótima ferramenta para emergências",true
"O app apresentou falhas quando tentei pedir ajuda",false
"Recebi suporte médico de forma muito rápida",true
"O chat não abriu no momento que precisei",false
"Fui muito bem acolhido pelos voluntários do app",true
"O aplicativo não respondeu minha solicitação",false
"Recebi rapidamente ajuda com alimentos e abrigo",true
"O aplicativo travou na hora de procurar ajuda",false
"Excelente atendimento médico e psicológico",true
"Não consegui acessar o chat de emergência",false
"O app me ajudou muito em um momento difícil",true
"O chat não funcionou durante o atendimento",false
"Recebi toda ajuda que precisava rapidamente",true
"Não consegui encontrar médicos pelo aplicativo",false
"Ótimo serviço de suporte oferecido no app",true
"O aplicativo ficou fora do ar no momento crítico",false
"App muito eficiente e fácil de usar",true
"Não consegui enviar meu pedido para os voluntários",false
"Recebi apoio psicológico rapidamente pelo app",true
"O sistema travou na hora da solicitação",false
"Ótima plataforma que salvou minha vida na crise",true
"O aplicativo não atualizou os dados dos abrigos",false
"Recebi toda a assistência necessária na emergência",true
"O chat ficou offline quando mais precisei",false
"App excelente para momentos de dificuldade",true
"O app ficou lento no momento da crise",false
"Recebi apoio de médicos psicólogos e voluntários",true
"O aplicativo não carregou corretamente",false
"Me ajudaram muito a encontrar abrigo rapidamente",true
"O app ficou indisponível durante a emergência",false
"Recebi medicamentos alimentos e roupas em poucos minutos",true
"Não consegui abrir o aplicativo na hora da crise",false
"Ótimo atendimento dos profissionais do app",true
"O chat não abriu e não consegui ajuda",false
"App maravilhoso que salva vidas em emergências",true
"O aplicativo apresentou muitas falhas quando precisei",false
"Fui muito bem acolhido e ajudado pelo app",true
"O sistema não carregou corretamente durante a crise",false
"Ótimo suporte tanto de médicos quanto de voluntários",true
"O aplicativo ficou travando e não consegui pedir ajuda",false
"Recebi rapidamente alimentos e itens de emergência",true
"O chat não respondeu na hora da emergência",false
"App excelente e muito bem organizado",true
"O aplicativo não abriu quando mais precisei",false
"O aplicativo não abriu quando mais precisei",false
"O chat ficou fora do ar durante a emergência",false
"Não consegui encontrar médicos disponíveis no app",false
"O aplicativo travou na hora que tentei pedir ajuda",false
"O app não respondeu minha solicitação de socorro",false
"O sistema ficou lento quando precisei de alimentos",false
"O aplicativo não localizou nenhum abrigo próximo",false
"Não consegui enviar meu pedido de emergência",false
"O chat de emergência não funcionou corretamente",false
"O app apresentou falhas durante todo o atendimento",false
"Faltaram médicos cadastrados no aplicativo",false
"Não consegui acessar o serviço de suporte psicológico",false
"O aplicativo não atualizou os dados dos abrigos",false
"Fiquei sem resposta dos voluntários no app",false
"O chat ficou travando e não consegui ajuda",false
"O app ficou indisponível no momento da crise",false
"Não consegui concluir meu pedido no aplicativo",false
"O sistema travou várias vezes durante o atendimento",false
"Não consegui abrir o chat de emergência",false
"O aplicativo caiu no momento que mais precisei",false
"O chat ficou fora do ar quando tentei buscar ajuda",false
"O app não funcionou quando tentei solicitar alimentos",false
"Não encontrei pontos de apoio disponíveis no app",false
"O aplicativo ficou lento e não carregou as informações",false
"O chat ficou indisponível durante toda a emergência",false
"Fiquei sem suporte psicológico no momento crítico",false
"O app não processou meu cadastro corretamente",false
"Não consegui buscar voluntários pelo aplicativo",false
"O sistema ficou sem resposta quando tentei buscar abrigo",false
"O chat não respondeu na hora que precisei de ajuda",false
"O aplicativo não localizou os pontos de distribuição",false
"O app não atualizou os dados dos médicos disponíveis",false
"Não consegui acessar o serviço de emergência pelo app",false
"O chat ficou travando e perdi muito tempo tentando",false
"O aplicativo ficou instável durante toda a emergência",false
"O app não respondeu meu pedido de alimentos",false
"Não consegui completar meu cadastro no aplicativo",false
"O chat de emergência ficou fora do ar por horas",false
"O aplicativo travou várias vezes durante o desastre",false
"O sistema ficou indisponível e não consegui suporte",false
"Não encontrei abrigo usando o aplicativo",false
"O chat não abriu quando precisei de atendimento",false
"O aplicativo não carregou as informações de emergência",false
"O app travou na hora de buscar apoio psicológico",false
"O chat ficou sem funcionar durante todo o desastre",false
"O sistema ficou lento e não encontrei ajuda",false
"Não consegui encontrar médicos no aplicativo",false
"O app não atualizou os dados dos voluntários",false
"O chat de emergência não respondeu quando precisei",false
"O sistema apresentou falhas constantes na emergência",false
"Não consegui enviar meu pedido de socorro pelo app",false
"O aplicativo não funcionou no momento que mais precisei",false
"O chat ficou fora do ar durante toda a crise",false
"O app ficou travando e não consegui suporte",false
"O sistema não carregou os dados corretamente",false
"Não consegui localizar abrigos no aplicativo",false
"O chat não respondeu minhas solicitações de ajuda",false
"O aplicativo travou quando tentei pedir alimentos",false
"O sistema ficou indisponível e não abriu o chat",false
"O app ficou sem conexão na hora que mais precisava",false
"O chat não funcionou quando tentei buscar médicos",false
"O aplicativo não encontrou nenhum ponto de apoio",false
"O sistema travou bem no meio do atendimento",false
"O chat ficou inoperante durante a emergência",false
"O app não atualizou as informações de suporte",false
"Não consegui acessar nenhum serviço no aplicativo",false
"O chat de emergência não abriu quando precisei",false
"O app ficou indisponível no momento mais crítico",false
"O sistema ficou fora do ar e não consegui suporte",false
"O aplicativo travou quando tentei buscar abrigo",false
"Não consegui enviar meu pedido de emergência pelo app",false
"O chat ficou travando e perdi a conexão",false
"O aplicativo não carregou os dados dos abrigos",false
"O sistema ficou sem funcionar durante o desastre",false
"O app apresentou erros quando tentei pedir alimentos",false
"Não consegui encontrar médicos de emergência no app",false
"O chat ficou fora do ar por muito tempo",false
"O aplicativo ficou lento e não respondeu",false
"O sistema travou na hora que tentei buscar voluntários",false
"Não consegui acessar os serviços do aplicativo",false
"O chat não abriu e não consegui ajuda",false
"O aplicativo não localizou os postos de atendimento",false
"O app ficou sem funcionar durante a emergência",false
"O sistema não carregou os dados dos médicos",false
"O chat ficou sem resposta durante o desastre",false
"O aplicativo travou quando tentei pedir socorro",false
"O sistema ficou indisponível durante a crise",false
"O app não processou minha solicitação de abrigo",false
"Não consegui encontrar pontos de distribuição no app",false
"O chat de emergência não abriu corretamente",false
"O sistema ficou fora do ar e não abriu o chat",false
"O aplicativo travou várias vezes no atendimento",false
"O chat ficou sem funcionar no momento que precisei",false
"O sistema não respondeu meu pedido de suporte",false
"Não consegui acessar o serviço de voluntários",false
"O app ficou indisponível e não consegui ajuda",false
"O chat não respondeu minhas mensagens de emergência",false
"O sistema apresentou falhas no atendimento",false
"O aplicativo não abriu no momento crítico",false
"Não consegui acessar o chat de emergência",false
"O chat ficou fora do ar quando tentei buscar abrigo",false
"O sistema não carregou corretamente os dados",false
"O app ficou lento e não abriu o mapa de abrigos",false
"O chat não funcionou quando tentei solicitar ajuda",false
"O aplicativo ficou travando no momento da crise",false
"O chat não respondeu minhas tentativas de contato",false
"O sistema ficou sem conexão e não abriu o chat",false
"O aplicativo travou bem na hora da emergência",false
"O app não atualizou as informações dos médicos",false
"O chat ficou inativo no momento que precisei",false
"O sistema não abriu quando tentei pedir ajuda",false
"O aplicativo ficou fora do ar por muito tempo",false
"O app não respondeu meu pedido de emergência",false
"O sistema travou e não consegui acessar o chat",false
"O chat de emergência não funcionou corretamente",false
"O app ficou indisponível durante toda a crise",false
"Não consegui enviar meu pedido de socorro no app",false
"O sistema não atualizou os dados dos abrigos",false
"O chat não abriu quando tentei pedir alimentos",false
"O aplicativo não respondeu durante a emergência",false
"O app ficou sem funcionar no momento da crise",false
"O sistema apresentou muitas falhas quando precisei",false
"Não consegui acessar nenhum serviço de emergência",false
"O chat ficou travado e não respondeu",false
"O aplicativo ficou indisponível durante o atendimento",false
"O app não processou meu pedido de socorro",false
"O sistema não carregou as informações dos médicos",false
"O chat ficou sem resposta na hora da emergência",false
"O aplicativo travou quando tentei buscar médicos",false
"O app não atualizou as informações dos voluntários",false
"O sistema não abriu quando tentei solicitar suporte",false
"O chat ficou fora do ar quando mais precisei",false
"O aplicativo não funcionou durante toda a emergência",false
"O app ficou travando e não consegui suporte médico",false
"O sistema ficou indisponível na hora da crise",false
"O chat não respondeu minhas mensagens no momento crítico",false
"O aplicativo não localizou os pontos de abrigo",false
"O app não processou minha solicitação de alimentos",false
"O sistema ficou lento e não abriu o chat",false
"O aplicativo ficou fora do ar e não consegui ajuda",false
"O chat ficou travando e não abriu na emergência",false
"O sistema não respondeu meu pedido de emergência",false
"O aplicativo não encontrou nenhum abrigo disponível",false
"O app ficou sem conexão no momento da crise",false
"O sistema ficou fora do ar no momento que mais precisei",false
"O chat de emergência não respondeu corretamente",false
"O aplicativo não atualizou os dados de suporte",false
"O sistema ficou indisponível e não consegui suporte",false
"O app não respondeu meu pedido de voluntários",false
"O chat ficou fora do ar durante o atendimento",false
"O aplicativo travou bem no meio do pedido de socorro",false
"O sistema não abriu quando tentei buscar apoio",false
"O chat não funcionou no momento da crise",false
"O aplicativo não encontrou os pontos de emergência",false
"O sistema ficou travando e não abriu o chat",false
"O app não atualizou os dados de médicos e abrigos",false
"O chat não respondeu quando tentei buscar ajuda",false
"O sistema ficou sem resposta no momento crítico",false
"O aplicativo não carregou as informações que eu precisava",false
"O app ficou travando durante todo o atendimento",false
"O sistema ficou indisponível e não carregou o chat",false
"O chat ficou fora do ar quando mais precisei de ajuda",false
"O aplicativo não respondeu na hora da emergência",false
"O sistema travou bem no momento que tentei pedir suporte",false
"O chat ficou sem funcionar no momento que tentei pedir alimentos",false
"O app ficou lento e não carregou o mapa de voluntários",false
"O sistema não abriu durante o desastre",false
"O aplicativo não processou meu cadastro corretamente",false
"O app ficou indisponível quando tentei solicitar apoio",false
"O sistema travou na hora de buscar suporte psicológico",false
"O chat não respondeu quando tentei solicitar abrigo",false
"O aplicativo não funcionou no momento da emergência",false
"O sistema não carregou quando tentei buscar voluntários",false
"O app ficou travando quando tentei solicitar medicamentos",false
"O chat ficou sem resposta quando tentei pedir alimentos",false
"O aplicativo não atualizou as informações dos serviços",false
"O aplicativo me ajudou muito na emergência",true
"Consegui atendimento médico rapidamente pelo app",true
"O app localizou um abrigo próximo em poucos minutos",true
"Recebi alimentos de forma rápida graças ao aplicativo",true
"O chat de emergência funcionou perfeitamente",true
"O aplicativo foi essencial durante a crise",true
"Encontrei apoio psicológico rapidamente no app",true
"O sistema funcionou muito bem quando mais precisei",true
"O aplicativo me direcionou para um abrigo seguro",true
"Recebi ajuda de voluntários pelo app rapidamente",true
"O aplicativo não travou e me atendeu muito bem",true
"O suporte médico pelo app foi muito eficiente",true
"Consegui encontrar medicamentos graças ao aplicativo",true
"O atendimento foi rápido e muito atencioso",true
"O app me salvou durante a situação de emergência",true
"Funcionou perfeitamente quando precisei de abrigo",true
"O chat foi muito eficiente e resolveu meu problema",true
"Recebi todo o suporte necessário pelo aplicativo",true
"O app funcionou sem falhas durante a crise",true
"Fui atendido rapidamente e com muito cuidado",true
"O aplicativo foi muito útil na situação de emergência",true
"O suporte psicológico foi excelente pelo app",true
"Recebi alimentos rapidamente graças ao aplicativo",true
"O aplicativo me direcionou para um abrigo confiável",true
"Consegui ajuda médica em poucos minutos no app",true
"O chat respondeu rapidamente e resolveu tudo",true
"Encontrei suporte de voluntários com facilidade",true
"O app localizou pontos de distribuição com rapidez",true
"O atendimento foi impecável pelo aplicativo",true
"Funcionou muito bem e me senti seguro usando o app",true
"O app foi fundamental para receber ajuda na crise",true
"O suporte foi muito rápido e eficiente",true
"O aplicativo me guiou até o abrigo mais próximo",true
"Recebi ajuda sem dificuldades pelo app",true
"O chat de emergência foi muito ágil e eficiente",true
"O app é muito confiável e funcionou perfeitamente",true
"O sistema funcionou muito bem quando precisei",true
"Recebi atendimento médico rapidamente",true
"Encontrei apoio psicológico de forma rápida",true
"O aplicativo atendeu todas as minhas necessidades",true
"O chat funcionou de forma excelente na emergência",true
"O app me ajudou a encontrar um abrigo seguro",true
"Recebi alimentos e água rapidamente pelo aplicativo",true
"O suporte foi excepcional durante a crise",true
"O aplicativo é fácil de usar e muito eficiente",true
"Consegui apoio médico em poucos minutos",true
"O chat me respondeu na hora e me ajudou muito",true
"O app funcionou perfeitamente durante todo o atendimento",true
"Recebi ajuda dos voluntários rapidamente",true
"O aplicativo me direcionou com precisão até um abrigo",true
"O suporte foi ágil e muito atencioso",true
"Funcionou perfeitamente quando mais precisei",true
"O aplicativo me ajudou muito na situação difícil",true
"Fui muito bem atendido no chat de emergência",true
"O app foi rápido e muito eficiente",true
"Recebi suporte psicológico quando mais precisava",true
"O aplicativo me localizou até os pontos de apoio",true
"O chat funcionou bem e me deu todo suporte necessário",true
"Fui bem atendido e consegui ajuda médica pelo app",true
"Recebi alimentos rapidamente usando o aplicativo",true
"O app foi essencial na situação de crise",true
"O suporte do aplicativo foi excelente",true
"O chat respondeu rápido e solucionou tudo",true
"Recebi todo suporte necessário através do aplicativo",true
"O aplicativo me ajudou a encontrar voluntários rapidamente",true
"Funcionou muito bem na hora da emergência",true
"O app me direcionou para o abrigo certo",true
"O atendimento foi ágil e eficiente",true
"Consegui apoio psicológico de forma eficiente",true
